Customer ID,Order ID,Product ID,Sales,Cost Price,Quantity,Discount,Discount_Amount,Total Sales,Total Cost,Profit,Total Profit
BD074505,UWT-477015,01JZ3N54X6QJ7M42VWJJ1R0J5Z,22.99,6.897,13,0.35,104.6045,298.87,89.661,16.093,209.209
MJ019298,PXZ-997751,01JZ3N521NPEH9RRK9J11FCCRY,2.49,0.747,15,0.06,2.241,37.35,11.205,1.743,26.145
OC007575,CJV-114820,01JZ3N51XV292DJKKGKEDEXG03,15.99,4.797,13,0.05,10.3935,207.87,62.361,11.193,145.509
JQ000431,HWI-435693,01JZ3N55H83PKNR5TH9H69YCE3,19.99,5.997,19,0.34,129.1354,379.81,113.943,13.993,265.867
JX027350,TUH-975855,01JZ3N5251JPAGQSNDZ381DJ2D,5.29,1.587,9,0.21,9.9981,47.61,14.283,3.703,33.327
AC065424,VJK-207176,01JZ3N558ZFYZ25WMHC5485RHK,2.89,0.867,6,0.3,5.202,17.34,5.202,2.023,12.138
QR064670,TSM-194299,01JZ3N52DMR6FQA774NA9ENHTY,24.99,7.497,9,0.04,8.9964,224.91,67.473,17.493,157.437
IL085160,PCS-669873,01JZ3N56FA38DH0AJWS97KXFF5,25,7.5,14,0.37,129.5,350,105,17.5,245
TV097382,LHH-558367,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,2,0.32,15.9936,49.98,14.994,17.493,34.986
RV043501,KOE-889608,01JZ3N5211H5Z8GNXF13ZBQ4P3,6.49,1.947,17,0.19,20.9627,110.33,33.099,4.543,77.231
LJ099998,QRI-948543,01JZ3N53KVFN1BZ1409F0VRVZK,2.99,0.897,8,0.12,2.8704,23.92,7.176,2.093,16.744
NF066979,GIK-189195,01JZ3N55BZG2B4ZMCC6BSG6CSN,49.99,14.997,10,0.28,139.972,499.9,149.97,34.993,349.93
CY070612,WTV-806290,01JZ3N531G9AYMH2BNY4X1PHPD,3.99,1.197,6,0.2,4.788,23.94,7.182,2.793,16.758
DO001772,FZJ-411782,01JZ3N50BAN4VPEMRXSM07W2AJ,2.49,0.747,11,0.23,6.2997,27.39,8.217,1.743,19.173
QJ030114,NPF-752480,01JZ3N51X8ESYNKHE1F3EGQNGB,9.99,2.997,4,0.02,0.7992,39.96,11.988,6.993,27.972
AP095673,EWP-440515,01JZ3N523DHKS67YP7SZPV9FYS,22.99,6.897,12,0.28,77.2464,275.88,82.764,16.093,193.116
NF066979,KZT-373731,01JZ3N55BZG2B4ZMCC6BSG6CSN,49.99,14.997,18,0.35,314.937,899.82,269.946,34.993,629.874
RO013242,UYM-559563,01JZ3N56C1A9CHA0N1Y69ZAW81,2.49,0.747,12,0.06,1.7928,29.88,8.964,1.743,20.916
EF042732,WGP-179826,01JZ3N50YQRSTBEK1V0TPVB9V1,3.49,1.047,2,0.22,1.5356,6.98,2.094,2.443,4.886
TA007457,EBE-258783,01JZ3N53KJEBVF4YQHG9P971C1,349.99,104.997,3,0.12,125.9964,1049.97,314.991,244.993,734.979
SE071898,HKR-361612,01JZ3N50F0436PFGGCPVTJH0N7,29.99,8.997,20,0.09,53.982,599.8,179.94,20.993,419.86
HF000394,FUJ-789993,01JZ3N559NT6YEGCRYTD92A483,2.99,0.897,5,0.17,2.5415,14.95,4.485,2.093,10.465
YD055268,LGE-086752,01JZ3N50P7QRCZ56X6EBRNMQA2,23.99,7.197,13,0.3,93.561,311.87,93.561,16.793,218.309
SJ097729,RVF-496613,01JZ3N569SEYEBC3Y2VT0C9KDN,19.99,5.997,11,0.21,46.1769,219.89,65.967,13.993,153.923
MU027586,QVJ-122549,01JZ3N56HY4FQKQHB3EV81GBHT,2.79,0.837,12,0.38,12.7224,33.48,10.044,1.953,23.436
CH053616,HUS-487080,01JZ3N5564R4DZ0FNCBDX3G003,3.99,1.197,9,0.15,5.3865,35.91,10.773,2.793,25.137
SW066440,EBN-292235,01JZ3N53V1DCJKDH1GWMN78CP9,8.99,2.697,1,0.11,0.9889,8.99,2.697,6.293,6.293
LR063902,CGW-286266,01JZ3N55QAK5FSHMPNACECT7AF,2.99,0.897,18,0.11,5.9202,53.82,16.146,2.093,37.674
YK006641,PNQ-370403,01JZ3N52KE6WBADNVZ1EBY62KA,3.29,0.987,17,0.36,20.1348,55.93,16.779,2.303,39.151
QP097532,ZMO-132174,01JZ3N52PTSQ54GHM51GFH98K5,4.49,1.347,13,0.38,22.1806,58.37,17.511,3.143,40.859
PW078874,NIR-271379,01JZ3N521XB0B19GTMP8GC1TWY,2.99,0.897,18,0.34,18.2988,53.82,16.146,2.093,37.674
UX079399,AGP-394891,01JZ3N56EDKJN482JFVHXHX5N3,14.99,4.497,20,0.36,107.928,299.8,89.94,10.493,209.86
MR095188,XLY-490554,01JZ3N51CRWEQ95V50E9ZWKXWJ,149.99,44.997,11,0.1,164.989,1649.89,494.967,104.993,1154.923
KP021070,EID-239131,01JZ3N54V8YM6909XY5GCANCVQ,5.99,1.797,16,0.15,14.376,95.84,28.752,4.193,67.088
CJ007867,SRF-971261,01JZ3N52JGHV09VASZF1B5T3PX,49.99,14.997,17,0.39,331.4337,849.83,254.949,34.993,594.881
XT003630,WEQ-875576,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,2,0.19,2.2762,11.98,3.594,4.193,8.386
ON014862,JAP-101546,01JZ3N52V9P3X4AK5BDTK63N1C,3.49,1.047,1,0.2,0.698,3.49,1.047,2.443,2.443
XE095413,YGA-301204,01JZ3N56E5FPP5DJHCE2JHF03F,2.99,0.897,3,0.13,1.1661,8.97,2.691,2.093,6.279
CI029431,MFR-865156,01JZ3N55KKMZ5E03M2JK0DCAYK,14.99,4.497,10,0.32,47.968,149.9,44.97,10.493,104.93
VQ012259,XOP-958785,01JZ3N50CM9GSR1HZ49HR8NNKD,1.29,0.387,6,0.04,0.3096,7.74,2.322,0.903,5.418
DI067107,RPJ-610873,01JZ3N55EPTAZNA3KX60RKB3NQ,54.99,16.497,7,0.14,53.8902,384.93,115.479,38.493,269.451
MX021696,QJY-165230,01JZ3N53T1AG60M53GCBTDGNS4,29.99,8.997,20,0.1,59.98,599.8,179.94,20.993,419.86
XE095413,NBI-664725,01JZ3N56E5FPP5DJHCE2JHF03F,2.99,0.897,14,0.4,16.744,41.86,12.558,2.093,29.302
TV097382,YBJ-381068,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,11,0.29,79.7181,274.89,82.467,17.493,192.423
YX078642,DOI-094069,01JZ3N52FVYK6CPX1XJRSGSWT0,3.29,0.987,19,0.19,11.8769,62.51,18.753,2.303,43.757
DG015801,IXU-406756,01JZ3N50PTMWFQ2C50QVFY9HGM,49.99,14.997,7,0.13,45.4909,349.93,104.979,34.993,244.951
GO006694,VQP-693199,01JZ3N52NWCPHRRRGB6YBX256V,3.99,1.197,9,0.09,3.2319,35.91,10.773,2.793,25.137
PS058519,VQA-378281,01JZ3N5294GCVQ1ECVFYNG482Q,39.99,11.997,1,0.02,0.7998,39.99,11.997,27.993,27.993
RU058520,YVX-672628,01JZ3N56BQNGWJE6W17D61P2N9,59.99,17.997,19,0.16,182.3696,1139.81,341.943,41.993,797.867
YR000590,OFL-131545,01JZ3N508MF8VK9CBCHRZ18QYV,4.49,1.347,11,0.23,11.3597,49.39,14.817,3.143,34.573
RK016062,UOH-362905,01JZ3N50KQAEMNEQA201AR9NWY,49.99,14.997,17,0.39,331.4337,849.83,254.949,34.993,594.881
LT061731,AFL-813239,01JZ3N5605QF5QNFNAWRYMKMNK,1.99,0.597,13,0.13,3.3631,25.87,7.761,1.393,18.109
YK006641,WWY-459047,01JZ3N52KE6WBADNVZ1EBY62KA,3.29,0.987,10,0.08,2.632,32.9,9.87,2.303,23.03
VO026219,PBP-493677,01JZ3N52YVSMKFXGFPHX7T2FJ8,3.99,1.197,17,0.29,19.6707,67.83,20.349,2.793,47.481
JY078378,FHC-401967,01JZ3N552FMW6898G406DB65W2,8.99,2.697,5,0.11,4.9445,44.95,13.485,6.293,31.465
AC032117,HOA-566039,01JZ3N5146RYS4NXJ7XFQ7YHWE,12.99,3.897,19,0.07,17.2767,246.81,74.043,9.093,172.767
YJ078139,EZZ-651660,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,8,0.26,12.4592,47.92,14.376,4.193,33.544
AG018641,MYV-956855,01JZ3N5093R5YRZTGX557D4ZC5,3.29,0.987,5,0.09,1.4805,16.45,4.935,2.303,11.515
VQ077263,YLZ-753466,01JZ3N571V9N657HDH99TS38XR,49.99,14.997,18,0.23,206.9586,899.82,269.946,34.993,629.874
JA054648,TGO-951823,01JZ3N50HGHYSE5QERK3VQSTD3,24.99,7.497,1,0.18,4.4982,24.99,7.497,17.493,17.493
MB099438,LVY-421886,01JZ3N50S6DYJAAMWKMFHCD5G6,3.49,1.047,1,0.07,0.2443,3.49,1.047,2.443,2.443
HU066299,XTB-177021,01JZ3N54SQP3DBBP7E9DYYHST8,59.99,17.997,11,0.08,52.7912,659.89,197.967,41.993,461.923
ON014862,XMS-444293,01JZ3N52V9P3X4AK5BDTK63N1C,3.49,1.047,19,0.23,15.2513,66.31,19.893,2.443,46.417
NH032711,ITN-259535,01JZ3N55HHMNQKVPXTN9EEDGKD,29.99,8.997,19,0.27,153.8487,569.81,170.943,20.993,398.867
GT004985,MFU-541584,01JZ3N51H7JTMPXEQ4MPHWQF6C,19.99,5.997,2,0.17,6.7966,39.98,11.994,13.993,27.986
XB095293,LUS-907074,01JZ3N567GDDSRQ50H4EB8444Z,3.99,1.197,9,0.22,7.9002,35.91,10.773,2.793,25.137
WZ006306,DMB-280657,01JZ3N55NWDR1PYN87QKB5G8GC,6.99,2.097,11,0.28,21.5292,76.89,23.067,4.893,53.823
VY088461,SRK-984107,01JZ3N54S5AN8WVRV9BQEJG3GP,1.99,0.597,17,0.18,6.0894,33.83,10.149,1.393,23.681
AK047185,GJY-448215,01JZ3N517FHAQZQGABMM53QAY3,3.99,1.197,12,0.25,11.97,47.88,14.364,2.793,33.516
RP069641,QER-301502,01JZ3N51J77D5CPH45X9202KPD,49.99,14.997,5,0.31,77.4845,249.95,74.985,34.993,174.965
LY032208,OKS-616758,01JZ3N537HT3E6QJW6HN803AES,34.99,10.497,10,0.4,139.96,349.9,104.97,24.493,244.93
FZ057864,EOV-498046,01JZ3N50XWMBB5TMRN3G0DDW7E,3.49,1.047,15,0.28,14.658,52.35,15.705,2.443,36.645
TK000744,GVK-757036,01JZ3N54Z6BWRP2RE77PMR55DY,3.79,1.137,9,0.38,12.9618,34.11,10.233,2.653,23.877
UM003359,WWC-630739,01JZ3N51FNZKSA0PQP5CH8H6NM,59.99,17.997,4,0.09,21.5964,239.96,71.988,41.993,167.972
BK006338,QOF-023801,01JZ3N53GPW13AS433J07PHRXR,14.99,4.497,14,0.31,65.0566,209.86,62.958,10.493,146.902
SL056460,OMI-219475,01JZ3N56DWWWHE846PS57EFS76,3.49,1.047,9,0.06,1.8846,31.41,9.423,2.443,21.987
LW071445,OGD-569829,01JZ3N55VSJMMDRYMXXA19JG7M,29.99,8.997,3,0.4,35.988,89.97,26.991,20.993,62.979
XT003630,JAH-721965,01JZ3N51E8MR51C41QCMABZRME,5.99,1.797,3,0.24,4.3128,17.97,5.391,4.193,12.579
OA076119,IOK-451161,01JZ3N55D31C3SWE7XTJVEGTDV,12.99,3.897,2,0.24,6.2352,25.98,7.794,9.093,18.186
IC023332,JLQ-890945,01JZ3N56V99GJ5CZN9NW0R699X,49.99,14.997,17,0.31,263.4473,849.83,254.949,34.993,594.881
TV097382,OEY-629318,01JZ3N55NARNE1G3WPE1WGKKCJ,24.99,7.497,12,0.02,5.9976,299.88,89.964,17.493,209.916
XT059837,RGT-191247,01JZ3N51QKJHJC1WH9BZE9C27K,2.49,0.747,8,0.01,0.1992,19.92,5.976,1.743,13.944
YJ078139,WOB-040251,01JZ3N52Q3Q3X4VAX3JPA5WFX5,5.99,1.797,9,0.11,5.9301,53.91,16.173,4.193,37.737
RJ028775,FVJ-324036,01JZ3N56W0X28ZAEZR3E1VVJD3,4.99,1.497,7,0.26,9.0818,34.93,10.479,3.493,24.451
YU047262,FGL-253760,01JZ3N5526DZNW71Y3Q7DYRDAJ,8.49,2.547,9,0.31,23.6871,76.41,22.923,5.943,53.487
LH034480,TVS-060453,01JZ3N529DT4GY4VV223EADGJZ,39.99,11.997,14,0,0,559.86,167.958,27.993,391.902
IN017659,IRL-970024,01JZ3N5176ABVX6HPJJCZFZ38B,69.99,20.997,1,0.13,9.0987,69.99,20.997,48.993,48.993
LJ099998,CDT-919568,01JZ3N53KVFN1BZ1409F0VRVZK,2.99,0.897,20,0.29,17.342,59.8,17.94,2.093,41.86
UF034417,QNQ-852444,01JZ3N50NQCRTY15T5KFHYD594,6.99,2.097,20,0.08,11.184,139.8,41.94,4.893,97.86
XQ042731,BYV-197637,01JZ3N51HFVMYC4EW6K01Y2JKB,79.99,23.997,16,0.29,371.1536,1279.84,383.952,55.993,895.888
EO027251,DPS-751482,01JZ3N52FJDN3K45BYM4W7B0TM,89,26.7,4,0.36,128.16,356,106.8,62.3,249.2
GL049016,UTP-786201,01JZ3N524BG6AVKDXPK72N2HAF,4.49,1.347,7,0,0,31.43,9.429,3.143,22.001
LO028977,AML-474220,01JZ3N512GHNAJSF3HCCQ0PQYY,2.99,0.897,18,0.02,1.0764,53.82,16.146,2.093,37.674
PN010412,ITO-658662,01JZ3N55JX79NVSRWTH1ACVZ43,3.29,0.987,3,0.4,3.948,9.87,2.961,2.303,6.909
AX035056,SMI-190672,01JZ3N56JGW5703P2DCNZSMNSC,59.99,17.997,9,0.19,102.5829,539.91,161.973,41.993,377.937
QZ098914,EDX-742395,01JZ3N53F3WGVRRWHKV0XYSVFK,29.99,8.997,9,0.05,13.4955,269.91,80.973,20.993,188.937
BW040945,MXK-599814,01JZ3N51JR4MXWEX0PVEQEX3YQ,24.99,7.497,2,0.11,5.4978,49.98,14.994,17.493,34.986
RG074102,SGO-996386,01JZ3N51WKAA9K6X60CRC3SQBH,3.19,0.957,4,0.06,0.7656,12.76,3.828,2.233,8.932
JJ088756,SOA-982943,01JZ3N52CQH0A51Y7G102J7Z5V,4.89,1.467,12,0.3,17.604,58.68,17.604,3.423,41.076
YL065975,GVI-919082,01JZ3N51GB6BDR542KWQH4HB6P,14.99,4.497,14,0,0,209.86,62.958,10.493,146.902
MX029359,KCA-992830,01JZ3N50Z8KTRXG596Y8Q8CW48,3.29,0.987,4,0.22,2.8952,13.16,3.948,2.303,9.212
NV061613,GQV-065197,01JZ3N50JN2EP4TYFBR2DYHPE6,59.99,17.997,11,0,0,659.89,197.967,41.993,461.923
RL033705,CIF-344670,01JZ3N51JG9CYNGR3049ZCR91W,39.99,11.997,16,0.13,83.1792,639.84,191.952,27.993,447.888
QY049868,SUA-403305,01JZ3N56357RX27SVPH69AFFC2,19.99,5.997,16,0.09,28.7856,319.84,95.952,13.993,223.888
PC066841,USI-207379,01JZ3N53TDNPT7AF2AWE4TYGFF,39.99,11.997,13,0.13,67.5831,519.87,155.961,27.993,363.909
RO013242,SKE-740254,01JZ3N56C1A9CHA0N1Y69ZAW81,2.49,0.747,19,0.13,6.1503,47.31,14.193,1.743,33.117
CI029431,AHG-251443,01JZ3N55KKMZ5E03M2JK0DCAYK,14.99,4.497,9,0.03,4.0473,134.91,40.473,10.493,94.437
AW056186,YWV-893212,01JZ3N55Y4FVCVP8CAXFFPKY0F,59.99,17.997,4,0,0,239.96,71.988,41.993,167.972
QN014838,MFL-642054,01JZ3N53QEPZ1M2ACHNRENHYAP,12.99,3.897,16,0.4,83.136,207.84,62.352,9.093,145.488
YB068814,HMW-407017,01JZ3N5181BJK644B8MDDY746W,3.49,1.047,6,0.39,8.1666,20.94,6.282,2.443,14.658
PB063442,GJS-072364,01JZ3N56NQJT7PSK1CHWNZ3WN8,4.49,1.347,12,0.3,16.164,53.88,16.164,3.143,37.716
EY021607,PNA-042598,01JZ3N55ZCM1H50JM2ZZ2RGRXB,3.49,1.047,18,0.32,20.1024,62.82,18.846,2.443,43.974
FX080042,BDO-226430,01JZ3N569GME8C131NNTV6PRVE,1.29,0.387,13,0.13,2.1801,16.77,5.031,0.903,11.739
PH033131,KTV-947888,01JZ3N570B92D2EWZB6VY8JH77,4.99,1.497,1,0.25,1.2475,4.99,1.497,3.493,3.493
ON076441,HOX-699761,01JZ3N5127MA9SZ1Q03R14VSK5,2.99,0.897,18,0.37,19.9134,53.82,16.146,2.093,37.674
KI039617,QTJ-260335,01JZ3N5235WTG93CAHMS6XDQ5H,8.99,2.697,18,0.33,53.4006,161.82,48.546,6.293,113.274
CX029462,OMI-935342,01JZ3N53FB041Z827WE4SCE0SX,2.29,0.687,4,0.05,0.458,9.16,2.748,1.603,6.412
